Multipole_ell,D_ell_LambdaCDM_Theory,D_ell_ECF_Theory
663,367.8128990653211,367.8128990653211
664,363.42332436693664,363.42332436693664
665,359.1404996256751,359.1404996256751
666,354.9625085977612,354.9625085977612
667,350.8874194860531,350.8874194860531
668,346.91328765268315,346.91328765268315
669,343.03815824903126,343.03815824903126
670,339.2600687617365,339.2600687617365
671,335.57705147366556,335.57705147366556
672,331.987135838962,331.987135838962
673,328.4883507714994,328.4883507714994
674,325.07872684625335,325.07872684625335
675,321.7562984132967,321.7562984132967
676,318.5191056243014,318.5191056243014
677,315.3651963716036,315.3651963716036
678,312.2926281400581,312.2926281400581
679,309.29946977206254,309.29946977206254
680,306.38380314629217,306.38380314629217
681,303.54372477082364,303.54372477082364
682,300.77734729146897,300.77734729146897
683,298.0828009162703,298.0828009162703
684,295.45823475722796,295.45823475722796
685,292.9018180904526,292.9018180904526
686,290.4117415360377,290.4117415360377
687,287.98621815905216,287.98621815905216
688,285.6234844931452,285.6234844931452
689,283.3218014883421,283.3218014883421
690,281.0794553846893,281.0794553846893
691,278.89475851348016,278.89475851348016
692,276.7660500278557,276.7660500278557
693,274.6916965646371,274.6916965646371
694,272.67009283929417,272.67009283929417
695,270.6996621760039,270.6996621760039
696,268.77885697478973,268.77885697478973
697,266.90615911776484,266.90615911776484
698,265.08008031653327,265.08008031653327
699,263.2991624028195,263.2991624028195
700,261.56197756441753,261.56197756441753
701,259.8671285285572,259.8671285285572
702,258.21324869479326,258.21324869479326
703,256.5990022195242,256.5990022195242
704,255.0230840542389,255.0230840542389
705,253.484219939588,253.484219939588
706,251.98116635735715,251.98116635735715
707,250.5127104424076,250.5127104424076
708,249.07766985662568,249.07766985662568
709,247.6748926269011,247.6748926269011
710,246.3032569491272,246.3032569491272
711,244.96167096017976,244.96167096017976
712,243.64907247981034,243.64907247981034
713,242.3644287243381,242.3644287243381
714,241.10673599400067,241.10673599400067
715,239.87501933577522,239.87501933577522
716,238.66833218343973,238.66833218343973
717,237.48575597660485,237.48575597660485
718,236.32639976039337,236.32639976039337
719,235.18939976740586,235.18939976740586
720,234.07391898355334,234.07391898355334
721,232.97914669929682,232.97914669929682
722,231.90429804777742,231.90429804777742
723,230.848613531272,230.848613531272
724,229.81135853735904,229.81135853735904
725,228.7918228461222,228.7918228461222
726,227.78932012967684,227.78932012967684
727,226.80318744523967,226.80318744523967
728,225.83278472292156,225.83278472292156
729,224.87749424936328,224.87749424936328
730,223.93672014828584,223.93672014828584
731,223.00988785897715,223.00988785897715
732,222.09644361367967,222.09644361367967
733,221.195853914803,221.195853914803
734,220.30760501282631,220.30760501282631
735,219.4312023857141,219.4312023857141
736,218.56617022061695,218.56617022061695
737,217.71205089858282,217.71205089858282
738,216.86840448295968,216.86840448295968
739,216.0348082121241,216.0348082121241
740,215.2108559971271,215.2108559971271
741,214.39615792480726,214.39615792480726
742,213.5903397668754,213.5903397668754
743,212.7930424954426,212.7930424954426
744,212.00392180541536,212.00392180541536
745,211.22264764415183,211.22264764415183
746,210.44890374873157,210.44890374873157
747,209.68238719115888,209.68238719115888
748,208.92280793178577,208.92280793178577
749,208.1698883812062,208.1698883812062
